report_id,wellbore_id,pdf_name,page_number,row_index,Time,Depth mMD,Depth TVD,Equ Mud Weight (g/cm3),Reading
142,15/9-19 BT2,15_9_19_BT2_1997_12_10.pdf,2,1,00:00,3220,,1.03,estimated
144,15/9-19 BT2,15_9_19_BT2_1997_12_12.pdf,1,1,00:00,3220,,1.03,estimated
145,15/9-19 BT2,15_9_19_BT2_1997_12_13.pdf,2,1,00:00,3220,,1.03,estimated
146,15/9-19 BT2,15_9_19_BT2_1997_12_14.pdf,2,1,00:00,3220,,1.03,estimated
147,15/9-19 BT2,15_9_19_BT2_1997_12_15.pdf,2,1,00:00,3220,,1.03,estimated
148,15/9-19 BT2,15_9_19_BT2_1997_12_16.pdf,2,1,00:00,3220,,1.03,estimated
149,15/9-19 BT2,15_9_19_BT2_1997_12_17.pdf,2,1,00:00,3220,,1.03,estimated
150,15/9-19 BT2,15_9_19_BT2_1997_12_18.pdf,2,1,00:00,3220,,1.03,estimated
151,15/9-19 BT2,15_9_19_BT2_1997_12_19.pdf,2,1,00:00,3348,,1.03,estimated
152,15/9-19 BT2,15_9_19_BT2_1997_12_20.pdf,2,1,00:00,3360,,1.03,estimated
153,15/9-19 BT2,15_9_19_BT2_1997_12_21.pdf,2,1,00:00,3405,,1.03,estimated
156,15/9-19 BT2,15_9_19_BT2_1997_12_24.pdf,2,1,00:00,3603,,1.19,estimated
157,15/9-19 BT2,15_9_19_BT2_1997_12_25.pdf,2,1,00:00,3603,,1.19,estimated
159,15/9-19 BT2,15_9_19_BT2_1997_12_27.pdf,2,1,00:00,3690,,1.26,estimated
161,15/9-19 BT2,15_9_19_BT2_1997_12_29.pdf,2,1,00:00,3728,,1.27,estimated
162,15/9-19 BT2,15_9_19_BT2_1997_12_30.pdf,1,1,00:00,3775,,1.3,estimated
162,15/9-19 BT2,15_9_19_BT2_1997_12_30.pdf,1,2,00:00,3950,,1.2,estimated
163,15/9-19 BT2,15_9_19_BT2_1997_12_31.pdf,2,1,00:00,3775,,1.3,estimated
163,15/9-19 BT2,15_9_19_BT2_1997_12_31.pdf,2,2,00:00,4031,,1.13,estimated
164,15/9-19 BT2,15_9_19_BT2_1998_01_01.pdf,2,1,00:00,3775,,1.3,estimated
164,15/9-19 BT2,15_9_19_BT2_1998_01_01.pdf,2,2,00:00,4031,,1.13,estimated
165,15/9-19 BT2,15_9_19_BT2_1998_01_02.pdf,2,1,00:00,3775,,1.3,estimated
165,15/9-19 BT2,15_9_19_BT2_1998_01_02.pdf,2,2,00:00,4031,,1.13,estimated
166,15/9-19 BT2,15_9_19_BT2_1998_01_03.pdf,2,1,00:00,3775,,1.3,estimated
166,15/9-19 BT2,15_9_19_BT2_1998_01_03.pdf,2,2,00:00,4031,,1.13,estimated
167,15/9-19 BT2,15_9_19_BT2_1998_01_04.pdf,2,1,00:00,3775,,1.3,estimated
167,15/9-19 BT2,15_9_19_BT2_1998_01_04.pdf,2,2,00:00,4037,,1.13,estimated
169,15/9-19 BT2,15_9_19_BT2_1998_01_06.pdf,2,1,00:00,3775,,1.3,estimated
169,15/9-19 BT2,15_9_19_BT2_1998_01_06.pdf,2,2,00:00,4070.5,,1.13,estimated
170,15/9-19 BT2,15_9_19_BT2_1998_01_07.pdf,2,1,00:00,3775,,1.3,estimated
170,15/9-19 BT2,15_9_19_BT2_1998_01_07.pdf,2,2,00:00,4090,,1.12,estimated
171,15/9-19 BT2,15_9_19_BT2_1998_01_08.pdf,2,1,00:00,3775,,1.3,estimated
171,15/9-19 BT2,15_9_19_BT2_1998_01_08.pdf,2,2,00:00,4108,,1.12,estimated
172,15/9-19 BT2,15_9_19_BT2_1998_01_09.pdf,2,1,00:00,3775,,1.3,estimated
172,15/9-19 BT2,15_9_19_BT2_1998_01_09.pdf,2,2,00:00,4140,,1.12,estimated
174,15/9-19 BT2,15_9_19_BT2_1998_01_11.pdf,2,1,00:00,3775,,1.3,estimated
174,15/9-19 BT2,15_9_19_BT2_1998_01_11.pdf,2,2,00:00,4250,,1.12,estimated
175,15/9-19 BT2,15_9_19_BT2_1998_01_12.pdf,2,1,00:00,3775,,1.3,estimated
175,15/9-19 BT2,15_9_19_BT2_1998_01_12.pdf,2,2,00:00,4250,,1.12,estimated
176,15/9-19 BT2,15_9_19_BT2_1998_01_13.pdf,2,1,00:00,3775,,1.3,estimated
176,15/9-19 BT2,15_9_19_BT2_1998_01_13.pdf,2,2,00:00,4250,,1.12,estimated
177,15/9-19 BT2,15_9_19_BT2_1998_01_14.pdf,2,1,00:00,3775,,1.3,estimated
177,15/9-19 BT2,15_9_19_BT2_1998_01_14.pdf,2,2,00:00,4250,,1.12,estimated
178,15/9-19 BT2,15_9_19_BT2_1998_01_15.pdf,2,1,00:00,3775,,1.3,estimated
178,15/9-19 BT2,15_9_19_BT2_1998_01_15.pdf,2,2,00:00,4250,,1.12,estimated
179,15/9-19 BT2,15_9_19_BT2_1998_01_16.pdf,2,1,00:00,3775,,1.3,estimated
179,15/9-19 BT2,15_9_19_BT2_1998_01_16.pdf,2,2,00:00,4250,,1.12,estimated
180,15/9-19 BT2,15_9_19_BT2_1998_01_17.pdf,2,1,00:00,3775,,1.3,estimated
180,15/9-19 BT2,15_9_19_BT2_1998_01_17.pdf,2,2,00:00,4250,,1.09,estimated
181,15/9-19 BT2,15_9_19_BT2_1998_01_18.pdf,2,1,00:00,3775,,1.3,estimated
181,15/9-19 BT2,15_9_19_BT2_1998_01_18.pdf,2,2,00:00,4250,,1.09,estimated
182,15/9-19 BT2,15_9_19_BT2_1998_01_19.pdf,2,1,00:00,3775,,1.3,estimated
182,15/9-19 BT2,15_9_19_BT2_1998_01_19.pdf,2,2,00:00,4250,,1.09,estimated
