quality_check_id,table_name,field_name,severity,check_name,message,report_id
1789,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,245.0
1790,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,245.0
1791,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,245.0
1792,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,245.0
1793,reports,depth_current_mmd,warning,metadata_value_rejected,Rejected raw value '-999.99' for depth_current_mmd,246.0
1794,reports,depth_current_mtvd,info,value_missing_before_next_label,No accepted value for depth_current_mtvd,246.0
1795,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,246.0
1796,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,246.0
1797,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,246.0
1798,reports,depth_current_mmd,warning,metadata_value_rejected,Rejected raw value '-999.99' for depth_current_mmd,247.0
1799,reports,depth_current_mtvd,info,value_missing_before_next_label,No accepted value for depth_current_mtvd,247.0
1800,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,247.0
1801,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,247.0
1802,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,247.0
1803,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,248.0
1804,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,248.0
1805,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,248.0
1806,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,248.0
1807,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,248.0
1808,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,249.0
1809,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,249.0
1810,reports,depth_last_casing_mmd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mmd,249.0
1811,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,249.0
1812,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,249.0
1813,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,249.0
1814,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,250.0
1815,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,250.0
1816,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,250.0
1817,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,250.0
1818,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,250.0
1819,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,250.0
1820,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,251.0
1821,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,251.0
1822,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,251.0
1823,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,251.0
1824,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,251.0
1825,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,251.0
1826,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,252.0
1827,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,252.0
1828,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,252.0
1829,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,252.0
1830,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,252.0
1831,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,252.0
1832,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,253.0
1833,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,253.0
1834,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,253.0
1835,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,253.0
1836,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,253.0
1837,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 2,253.0
1838,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,254.0
1839,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,254.0
1840,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,254.0
1841,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,254.0
1842,reports,pressure_test_type,info,value_missing_before_next_label,No accepted value for pressure_test_type,254.0
1843,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 4,254.0
1844,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 5,254.0
1845,drilling_fluid,,warning,partial_fluid_row,Partial drilling fluid row retained at row offset 6,254.0
1846,reports,depth_kickoff_mmd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mmd,255.0
1847,reports,depth_kickoff_mtvd,info,value_missing_before_next_label,No accepted value for depth_kickoff_mtvd,255.0
1848,reports,depth_last_casing_mtvd,info,value_missing_before_next_label,No accepted value for depth_last_casing_mtvd,255.0
1849,reports,plug_back_depth_mmd,info,value_missing_before_next_label,No accepted value for plug_back_depth_mmd,255.0
