operation_id,start_time,end_time,end_depth_mmd,main_activity,sub_activity,state,remark,activity_label,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
5159,05:00,06:30,0.0,drilling,bop activities,ok,Tested seal assembly and lower pipe rams to 345 bar/15 min.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [""345 bar""], ""time_refs"": []}",[],[],"[""345 bar""]",[],601
5160,06:30,12:00,0.0,drilling,bop activities,ok,"Tested BOPs and surface lines 20/345 bar, 5/10 min.",CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [""345 bar""], ""time_refs"": []}",[],[],"[""345 bar""]",[],601
5161,12:00,13:30,0.0,drilling,bop/wellhead equipment,ok,Installed wear bushing. POOH wear bushing running tool and L/O same,TRIP_OUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],601
5162,13:30,14:30,0.0,drilling,bop/wellhead equipment,ok,Ceaned and cleared rig floor. Serviced drilling equipment prior to tripping.,CUT,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],601
5163,14:30,18:00,176.0,drilling,trip,ok,"Held TBT. P/U and M/U 12 1/4"" Drill out BHA. RIH on 5 1/2"" HWDP to 176 m.",TRIP_IN,"{""depths"": [""176 m""], ""equipment"": [""hwdp"", ""bha""], ""measurements"": [], ""time_refs"": []}","[""176 m""]","[""hwdp"", ""bha""]",[],[],601
5164,18:00,00:00,1625.0,drilling,trip,ok,"RIH 12 1/4"" drill out BHA on 5 1/2"" DP from 176 m to 1625 m filling every 1000 m with 1.42 sg OBM. Performed choke drill with both crews.",TRIP_IN,"{""depths"": [""176 m"", ""1625 m"", ""1000 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""176 m"", ""1625 m"", ""1000 m""]","[""bha""]",[],[],601
5165,00:00,02:30,2477.0,drilling,trip,ok,"RIH 12 1/4"" drill out BHA on 5 1/2"" DP from 1625 m to 2477 m filling every 1000 m with 1.42 sg OBM.",TRIP_IN,"{""depths"": [""1625 m"", ""2477 m"", ""1000 m""], ""equipment"": [""bha""], ""measurements"": [], ""time_refs"": []}","[""1625 m"", ""2477 m"", ""1000 m""]","[""bha""]",[],[],602
5166,02:30,03:00,2541.0,drilling,trip,ok,"Washed down from 2477 m to 2541 m with 1500 lpm, 50 bar, 30 rpm, 7-10 kNm, recorded Up/Dw weight 159/133 MT. Tagged TOC at 2541 m with 5 MT.",CUT,"{""depths"": [""2477 m"", ""2541 m""], ""equipment"": [], ""measurements"": [""30 rpm"", ""50 bar"", ""1500 lpm"", ""133 mt"", ""5 mt"", ""10 knm""], ""time_refs"": []}","[""2477 m"", ""2541 m""]",[],"[""30 rpm"", ""50 bar"", ""1500 lpm"", ""133 mt"", ""5 mt"", ""10 knm""]",[],602
5167,03:00,11:00,2570.0,drilling,drill,ok,"Drilled shoetrack and shoe from 2541 m to 2571 m with 2500 lpm, 117 bar, 40/80 rpm, 12-15 kNm, WOB 8-16 MT Reduced MW from 1.42 sg to 1.28 sg",CUT,"{""depths"": [""2541 m"", ""2571 m""], ""equipment"": [], ""measurements"": [""80 rpm"", ""117 bar"", ""2500 lpm"", ""16 mt"", ""15 knm""], ""time_refs"": []}","[""2541 m"", ""2571 m""]",[],"[""80 rpm"", ""117 bar"", ""2500 lpm"", ""16 mt"", ""15 knm""]",[],602
5168,11:00,12:00,2577.0,drilling,drill,ok,"Cleaned out rat hole and drilled 3 m new formation from 2571 m to 2577 m with 2500 lpm, 95 bar, 80 rpm, 17-22 kNm, WOB 10 M T",CUT,"{""depths"": [""3 m"", ""2571 m"", ""2577 m"", ""10 m""], ""equipment"": [], ""measurements"": [""80 rpm"", ""95 bar"", ""2500 lpm"", ""22 knm""], ""time_refs"": []}","[""3 m"", ""2571 m"", ""2577 m"", ""10 m""]",[],"[""80 rpm"", ""95 bar"", ""2500 lpm"", ""22 knm""]",[],602
