equipment_failure_id,start_time,depth_mmd,system_class,downtime_min,repaired_time,remark,ner_entities,ner_depths,ner_equipment,ner_measurements,ner_time_refs,report_id
181,00:00,140.0,hoisting equ -- top drive,0.0,00:00,Changed allignement cylinder on TDS.,"{""depths"": [], ""equipment"": [""tds""], ""measurements"": [], ""time_refs"": []}",[],"[""tds""]",[],[],822
182,00:00,2299.0,drill floor -- drilling control,0.0,00:00,Software had to be re-booted to function properly on FWD PRS.,"{""depths"": [], ""equipment"": [""prs""], ""measurements"": [], ""time_refs"": []}",[],"[""prs""]",[],[],823
183,00:00,2289.0,service equ -- special service equ,0.0,00:00,Ha problems down linking to Schlumberger powerdrive and getting proper MWD signals .,"{""depths"": [], ""equipment"": [""mwd""], ""measurements"": [], ""time_refs"": []}",[],"[""mwd""]",[],[],825
184,00:00,1188.0,drill floor -- drilling control,0.0,00:00,"Camera on PDM displayed a ""blue and blurring"" picture. Re-sat HMI software to be able to see picture on t he screen.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],827
185,00:00,28.0,miscellaneous equ syst -- wellhead subsea run tes t,0.0,00:00,Unable to release Adjustment Sub Setting Tool from Adjustment Sub.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],841
186,00:00,600.0,well control equ syst -- other,0.0,00:00,Found Overshot Packer leaking fluid and Koomy unit level dropped a little.,"{""depths"": [], ""equipment"": [""packer""], ""measurements"": [], ""time_refs"": []}",[],"[""packer""]",[],[],848
187,00:00,1022.0,pipe handling equ syst -- elevator,0.0,00:00,Broken safety chain on DP elevator,"{""depths"": [], ""equipment"": [""elevator""], ""measurements"": [], ""time_refs"": []}",[],"[""elevator""]",[],[],852
188,00:00,3634.0,hoisting equ -- top drive,0.0,00:00,Leakage on wash pipe during displacement.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],853
189,00:00,0.0,material handling syst -- utility winchs,0.0,00:00,Damage to tugger wire. Checked and respooled same.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],856
190,00:00,1565.0,pipe handling equ syst -- elev ator,0.0,00:00,"During runnig 7"" tubing a hose on the BX elevator was caught and damaged. Had to change the hose. Do wntime 0,5 hrs.","{""depths"": [], ""equipment"": [""elevator""], ""measurements"": [], ""time_refs"": []}",[],"[""elevator""]",[],[],859
191,00:00,2596.0,service equ -- wellhead tubula r equ,0.0,00:00,Unable to get good test on penetration fittings,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],859
192,00:00,0.0,well control equ syst -- other,0.0,00:00,Not able to release lock dogs in diverter with dedicated pulling/handling tool.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],861
193,00:00,0.0,service equ -- other,0.0,00:00,Toolcatcher was not hooked up properly.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],866
194,00:00,3400.0,service equ -- oth er,0.0,00:00,"While correlating before shooting the 4.5 "" HSD guns, the mode was changed from running Welltec tractor to logging and schlumberger co uld no longer communicate properly with GR and the gun switches.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],867
195,00:00,0.0,service equ -- other,0.0,00:00,"WL winch would not start and the re-set handle for 380 V power supply had broken off. Machined and installed new re-set handle, but were stil l not able to start WL winch. Electrican opened ex-panel and found loose rele.","{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],868
196,00:00,0.0,service equ -- electr logging equ,0.0,00:00,Schlumberger unit experienced power shut down and had to restart all systems.,"{""depths"": [], ""equipment"": [], ""measurements"": [], ""time_refs"": []}",[],[],[],[],868
